produce,month,status,is_meat,is_fish,is_fruit,is_veg
Orange,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Oyster,Mar,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Pepper,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Mar,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Pumpkin,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Quince,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Raspberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,Mar,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Spinach,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Spring greens,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Spring lamb,Mar,At its best,TRUE,FALSE,FALSE,FALSE
Spring onion,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Mar,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Watermelon,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Mar,Coming in,FALSE,FALSE,FALSE,TRUE
Whiting,Mar,Out of season,FALSE,TRUE,FALSE,FALSE
Apple,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Apr,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Apr,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Blackberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Cherry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Apr,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Apr,At its best,FALSE,TRUE,FALSE,FALSE
Courgette,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Apr,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Goose,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Apr,At its best,FALSE,FALSE,TRUE,FALSE
Grouse,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Apr,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,Apr,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,Apr,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Leek,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Lemon,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Apr,Coming in,FALSE,FALSE,FALSE,TRUE
Loganberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Apr,Out of season,FALSE,TRUE,FALSE,FALSE
Mangetout,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Apr,Out of season,FALSE,TRUE,FALSE,FALSE
Nectarine,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Onion,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Apr,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Peach,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Apr,Coming in,FALSE,FALSE,FALSE,TRUE
Pepper,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Apr,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Apr,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Pumpkin,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Quince,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
